"Year","ID","Name","Poverty Universe","Number in Poverty","90% Confidence Interval","Percent in Poverty","90% Confidence Interval"
"2021","13307","Webster County","2,362","481","375 to 587","20.4","15.9 to 24.9"
"2021","13309","Wheeler County","5,099","1,692","1,252 to 2,132","33.2","24.6 to 41.8"
"2021","13311","White County","27,695","3,456","2,696 to 4,216","12.5","9.8 to 15.2"
"2021","13313","Whitfield County","101,684","13,655","11,204 to 16,106","13.4","11.0 to 15.8"
"2021","13315","Wilcox County","6,861","1,897","1,466 to 2,328","27.6","21.3 to 33.9"
"2021","13317","Wilkes County","9,359","1,879","1,446 to 2,312","20.1","15.5 to 24.7"
"2021","13319","Wilkinson County","8,656","1,832","1,473 to 2,191","21.2","17.1 to 25.3"
"2021","13321","Worth County","20,330","4,178","3,351 to 5,005","20.6","16.5 to 24.7"
"2020","13001","Appling County","17,863","3,550","2,734 to 4,366","19.9","15.3 to 24.5"
"2020","13003","Atkinson County","8,349","1,801","1,362 to 2,240","21.6","16.3 to 26.9"
"2020","13005","Bacon County","10,712","2,261","1,746 to 2,776","21.1","16.3 to 25.9"
"2020","13007","Baker County","2,961","701","525 to 877","23.7","17.8 to 29.6"
"2020","13009","Baldwin County","39,360","8,910","7,121 to 10,699","22.6","18.1 to 27.1"
"2020","13011","Banks County","19,307","2,245","1,657 to 2,833","11.6","8.6 to 14.6"
"2020","13013","Barrow County","85,119","8,629","6,912 to 10,346","10.1","8.1 to 12.1"
"2020","13015","Bartow County","108,112","10,991","8,376 to 13,606","10.2","7.8 to 12.6"
"2020","13017","Ben Hill County","16,304","3,636","2,803 to 4,469","22.3","17.2 to 27.4"
"2020","13019","Berrien County","19,149","3,610","2,782 to 4,438","18.9","14.6 to 23.2"
"2020","13021","Bibb County","146,036","40,946","36,558 to 45,334","28.0","25.0 to 31.0"
"2020","13023","Bleckley County","11,521","2,134","1,663 to 2,605","18.5","14.4 to 22.6"
"2020","13025","Brantley County","19,048","3,386","2,591 to 4,181","17.8","13.6 to 22.0"
"2020","13027","Brooks County","15,278","3,140","2,334 to 3,946","20.6","15.3 to 25.9"
"2020","13029","Bryan County","40,527","3,249","2,487 to 4,011","8.0","6.1 to 9.9"
"2020","13031","Bulloch County","74,201","15,342","12,499 to 18,185","20.7","16.9 to 24.5"
"2020","13033","Burke County","22,309","4,455","3,285 to 5,625","20.0","14.8 to 25.2"
"2020","13035","Butts County","22,364","4,651","3,932 to 5,370","20.8","17.6 to 24.0"
"2020","13037","Calhoun County","4,524","1,555","1,176 to 1,934","34.4","26.0 to 42.8"
"2020","13039","Camden County","53,210","5,021","3,735 to 6,307","9.4","7.0 to 11.8"
"2020","13043","Candler County","10,679","2,143","1,586 to 2,700","20.1","14.9 to 25.3"
"2020","13045","Carroll County","117,191","19,693","16,690 to 22,696","16.8","14.2 to 19.4"
"2020","13047","Catoosa County","67,378","6,796","5,040 to 8,552","10.1","7.5 to 12.7"
"2020","13049","Charlton County","10,887","2,781","2,169 to 3,393","25.5","19.9 to 31.1"
"2020","13051","Chatham County","275,079","43,011","36,110 to 49,912","15.6","13.1 to 18.1"
"2020","13053","Chattahoochee County","7,836","1,222","916 to 1,528","15.6","11.7 to 19.5"
"2020","13055","Chattooga County","23,517","4,431","3,437 to 5,425","18.8","14.6 to 23.0"
"2020","13057","Cherokee County","263,075","17,630","14,284 to 20,976","6.7","5.4 to 8.0"
"2020","13059","Clarke County","117,460","28,845","24,935 to 32,755","24.6","21.3 to 27.9"
"2020","13061","Clay County","2,803","675","489 to 861","24.1","17.5 to 30.7"
"2020","13063","Clayton County","286,953","48,136","39,375 to 56,897","16.8","13.7 to 19.9"
